question_id,question_type,is_abstention,question,answer,bucket_A_B_C,notes
gpt4_2655b836,temporal-reasoning,,What was the first issue I had with my new car after its first service?,GPS system not functioning correctly,,
gpt4_2487a7cb,temporal-reasoning,,"Which event did I attend first, the 'Effective Time Management' workshop or the 'Data Analysis using Python' webinar?",'Data Analysis using Python' webinar,,
gpt4_76048e76,temporal-reasoning,,"Which vehicle did I take care of first in February, the bike or the car?",bike,,
gpt4_2312f94c,temporal-reasoning,,"Which device did I got first, the Samsung Galaxy S22 or the Dell XPS 13?",Samsung Galaxy S22,,
0bb5a684,temporal-reasoning,,How many days before the team meeting I was preparing for did I attend the workshop on 'Effective Communication in the Workplace'?,7 days. 8 days (including the last day) is also acceptable.,,
08f4fc43,temporal-reasoning,,How many days had passed between the Sunday mass at St. Mary's Church and the Ash Wednesday service at the cathedral?,30 days. 31 days (including the last day) is also acceptable.,,
2c63a862,temporal-reasoning,,How many days did it take for me to find a house I loved after starting to work with Rachel?,14 days. 15 days (including the last day) is also acceptable.,,
gpt4_385a5000,temporal-reasoning,,"Which seeds were started first, the tomatoes or the marigolds?",Tomatoes,,
2a1811e2,temporal-reasoning,,How many days had passed between the Hindu festival of Holi and the Sunday mass at St. Mary's Church?,21 days. 22 days (including the last day) is also acceptable.,,
bbf86515,temporal-reasoning,,How many days before the 'Rack Fest' did I participate in the 'Turbocharged Tuesdays' event?,4 days.,,
gpt4_5dcc0aab,temporal-reasoning,,Which pair of shoes did I clean last month?,white Adidas sneakers,,
gpt4_0b2f1d21,temporal-reasoning,,"Which event happened first, the purchase of the coffee maker or the malfunction of the stand mixer?",The malfunction of the stand mixer,,
f0853d11,temporal-reasoning,,How many days had passed between the 'Walk for Hunger' event and the 'Coastal Cleanup' event?,14 days. 8 days (including the last day) is also acceptable.,,
gpt4_6ed717ea,temporal-reasoning,,"Which item did I purchase first, the dog bed for Max or the training pads for Luna?",Training pads for Luna,,
gpt4_70e84552,temporal-reasoning,,"Which task did I complete first, fixing the fence or trimming the goats' hooves?",Fixing the fence,,
a3838d2b,temporal-reasoning,,How many charity events did I participate in before the 'Run for the Cure' event?,4,,
gpt4_93159ced,temporal-reasoning,,How long have I been working before I started my current job at NovaTech?,4 years and 9 months,,
gpt4_2d58bcd6,temporal-reasoning,,"Which book did I finish reading first, 'The Hate U Give' or 'The Nightingale'?",'The Hate U Give',,
gpt4_65aabe59,temporal-reasoning,,"Which device did I set up first, the smart thermostat or the mesh network system?",Smart thermostat,,
982b5123,temporal-reasoning,,How many months ago did I book the Airbnb in San Francisco?,Five months ago,,
b9cfe692,temporal-reasoning,,How long did I take to finish 'The Seven Husbands of Evelyn Hugo' and 'The Nightingale' combined?,5.5 weeks,,
gpt4_4edbafa2,temporal-reasoning,,What was the date on which I attended the first BBQ event in June?,June 3rd,,
c8090214,temporal-reasoning,,How many days before I bought the iPhone 13 Pro did I attend the Holiday Market?,7 days. 8 days (including the last day) is also acceptable.,,
gpt4_483dd43c,temporal-reasoning,,"Which show did I start watching first, 'The Crown' or 'Game of Thrones'?",'Game of Thrones',,
e4e14d04,temporal-reasoning,,How long had I been a member of 'Book Lovers Unite' when I attended the meetup?,Two weeks,,
c9f37c46,temporal-reasoning,,How long had I been watching stand-up comedy specials regularly when I attended the open mic night at the local comedy club?,2 months,,
gpt4_2c50253f,temporal-reasoning,,What time do I wake up on Tuesdays and Thursdays?,6:45 AM,,
dcfa8644,temporal-reasoning,,How many days had passed since I bought my Adidas running shoes when I realized one of the shoelaces on my old Converse sneakers had broken?,14 days. 15 days (including the last day) is also acceptable.,,
gpt4_b4a80587,temporal-reasoning,,"Which event happened first, the road trip to the coast or the arrival of the new prime lens?",The arrival of the new prime lens,,
gpt4_9a159967,temporal-reasoning,,Which airline did I fly with the most in March and April?,United Airlines,,
cc6d1ec1,temporal-reasoning,,How long had I been bird watching when I attended the bird watching workshop?,Two months,,
gpt4_8c8961ae,temporal-reasoning,,"Which trip did I take first, the one to Europe with family or the solo trip to Thailand?",The solo trip to Thailand,,
gpt4_d9af6064,temporal-reasoning,,"Which device did I set up first, the smart thermostat or the new router?",new router,,
gpt4_7de946e7,temporal-reasoning,,"Which health issue did I deal with first, the persistent cough or the skin tag removal?",Persistent cough,,
d01c6aa8,temporal-reasoning,,How old was I when I moved to the United States?,27,,
993da5e2,temporal-reasoning,,How long had I been using the new area rug when I rearranged my living room furniture?,One week. Answers ranging from 7 days to 10 days are also acceptable.,,
a3045048,temporal-reasoning,,How many days before my best friend's birthday party did I order her gift?,7 days. 8 days (including the last day) is also acceptable.,,
gpt4_d31cdae3,temporal-reasoning,,"Which trip did the narrator take first, the solo trip to Europe or the family road trip across the American Southwest?",The family road trip across the American Southwest,,
gpt4_cd90e484,temporal-reasoning,,How long did I use my new binoculars before I saw the American goldfinches returning to the area?,Two weeks,,
gpt4_88806d6e,temporal-reasoning,,"Who did I meet first, Mark and Sarah or Tom?",Tom,,
gpt4_4cd9eba1,temporal-reasoning,,How many weeks have I been accepted into the exchange program when I started attending the pre-departure orientation sessions?,one week,,
gpt4_93f6379c,temporal-reasoning,,"Which group did I join first, 'Page Turners' or 'Marketing Professionals'?",Page Turners,,
b29f3365,temporal-reasoning,,How long had I been taking guitar lessons when I bought the new guitar amp?,Four weeks,,
gpt4_2f56ae70,temporal-reasoning,,Which streaming service did I start using most recently?,Disney+,,
6613b389,temporal-reasoning,,How many months before my anniversary did Rachel get engaged?,2,,
gpt4_78cf46a3,temporal-reasoning,,"Which event happened first, the narrator losing their phone charger or the narrator receiving their new phone case?",Receiving the new phone case,,
gpt4_0a05b494,temporal-reasoning,,"Who did I meet first, the woman selling jam at the farmer's market or the tourist from Australia?",the woman selling jam at the farmer's market,,
gpt4_1a1dc16d,temporal-reasoning,,"Which event happened first, the meeting with Rachel or the pride parade?",The meeting with Rachel,,
gpt4_2f584639,temporal-reasoning,,"Which gift did I buy first, the necklace for my sister or the photo album for my mom?",the photo album for my mom,,
gpt4_213fd887,temporal-reasoning,,"Which event did I participate in first, the volleyball league or the charity 5K run to raise money for a local children's hospital?",volleyball league,,
gpt4_5438fa52,temporal-reasoning,,"Which event happened first, my attendance at a cultural festival or the start of my Spanish classes?",Spanish classes,,
gpt4_c27434e8,temporal-reasoning,,"Which project did I start first, the Ferrari model or the Japanese Zero fighter plane model?",Japanese Zero fighter plane model,,
gpt4_fe651585,temporal-reasoning,,"Who became a parent first, Rachel or Alex?",Alex,,
8c18457d,temporal-reasoning,,How many days had passed between the day I bought a gift for my brother's graduation ceremony and the day I bought a birthday gift for my best friend?,7 days. 8 days (including the last day) is also acceptable.,,
gpt4_70e84552_abs,temporal-reasoning,yes,"Which task did I complete first, fixing the fence or purchasing three cows from Peter?",The information provided is not enough. You mentioned fixing the fence but did not mention purchasing cows from Peter.,,
gpt4_93159ced_abs,temporal-reasoning,yes,How long have I been working before I started my current job at Google?,"The information provided is not enough. From the information provided, You haven't started working at Google yet.",,
982b5123_abs,temporal-reasoning,yes,When did I book the Airbnb in Sacramento?,The information provided is not enough. You only mentioned booking Airbnb in San Francisco.,,
c8090214_abs,temporal-reasoning,yes,How many days before I bought my iPad did I attend the Holiday Market?,"The information provided is not enough. You mentioned getting the iPhone 13 Pro and attending the market, but you did not mention buying an iPad.",,
gpt4_c27434e8_abs,temporal-reasoning,yes,"Which project did I start first, the Ferrari model or the Porsche 991 Turbo S model?",The information provided is not enough. You did not mention starting the Porsche 991 Turbo S model.,,
gpt4_fe651585_abs,temporal-reasoning,yes,"Who became a parent first, Tom or Alex?","The information provided is not enough. You mentioned Alex becoming a parent in January, but you didn't mention anything about Tom.",,
6a1eabeb,knowledge-update,,What was my personal best time in the charity 5K run?,25 minutes and 50 seconds (or 25:50),,
6aeb4375,knowledge-update,,How many Korean restaurants have I tried in my city?,four,,
830ce83f,knowledge-update,,Where did Rachel move to after her recent relocation?,the suburbs,,
852ce960,knowledge-update,,What was the amount I was pre-approved for when I got my mortgage from Wells Fargo?,"$400,000",,
945e3d21,knowledge-update,,How often do I attend yoga classes to help with my anxiety?,Three times a week.,,
d7c942c3,knowledge-update,,Is my mom using the same grocery list method as me?,Yes.,,
71315a70,knowledge-update,,How many hours have I spent on my abstract ocean sculpture?,10-12 hours,,
89941a93,knowledge-update,,How many bikes do I currently own?,4,,
ce6d2d27,knowledge-update,,What day of the week do I take a cocktail-making class?,Friday,,
9ea5eabc,knowledge-update,,Where did I go on my most recent family trip?,Paris,,
07741c44,knowledge-update,,Where do I initially keep my old sneakers?,under my bed,,
a1eacc2a,knowledge-update,,How many short stories have I written since I started writing regularly?,seven,,
184da446,knowledge-update,,How many pages of 'A Short History of Nearly Everything' have I read so far?,220,,
031748ae,knowledge-update,,How many engineers do I lead when I just started my new role as Senior Software Engineer? How many engineers do I lead now?,"When you just started your new role as Senior Software Engineer, you led 4 engineers. Now, you lead 5 engineers",,
4d6b87c8,knowledge-update,,How many titles are currently on my to-watch list?,25,,
0f05491a,knowledge-update,,How many stars do I need to reach the gold level on my Starbucks Rewards app?,120,,
08e075c7,knowledge-update,,How long have I been using my Fitbit Charge 3?,9 months,,
f9e8c073,knowledge-update,,How many sessions of the bereavement support group did I attend?,five,,
41698283,knowledge-update,,What type of camera lens did I purchase most recently?,a 70-200mm zoom lens,,
2698e78f,knowledge-update,,"How often do I see my therapist, Dr. Smith?",every week,,
b6019101,knowledge-update,,How many MCU films did I watch in the last 3 months?,5,,
45dc21b6,knowledge-update,,How many of Emma's recipes have I tried out?,3,,
5a4f22c0,knowledge-update,,"What company is Rachel, an old colleague from my previous company, currently working at?",TechCorp,,
6071bd76,knowledge-update,,"For the coffee-to-water ratio in my French press, did I switch to more water per tablespoon of coffee, or less?",You switched to less water (5 ounces) per tablespoon of coffee.,,
e493bb7c,knowledge-update,,Where is the painting 'Ethereal Dreams' by Emma Taylor currently hanging?,in my bedroom,,
618f13b2,knowledge-update,,How many times have I worn my new black Converse Chuck Taylor All Star sneakers?,six,,
72e3ee87,knowledge-update,,How many episodes of the Science series have I completed on Crash Course?,50,,
c4ea545c,knowledge-update,,Do I go to the gym more frequently than I did previously?,Yes,,
01493427,knowledge-update,,How many new postcards have I added to my collection since I started collecting again?,25,,
6a27ffc2,knowledge-update,,How many videos of Corey Schafer's Python programming series have I completed so far?,30,,
2133c1b5,knowledge-update,,How long have I been living in my current apartment in Harajuku?,3 months,,
18bc8abd,knowledge-update,,What brand of BBQ sauce am I currently obsessed with?,Kansas City Masterpiece,,
